Note,Title,Content,Vote,Answer,View
73483956,Django serving build with many MIME Type errors (sveltekit),"index.html <!DOCTYPE html> <html lang=""en"">   <head>     <meta charset=""utf-8"" />     <meta name=""viewport"" content=""width=device-width, ...",0,0,7
73483913,Python - Converting a column with weekly data to a datetime object,"I have the following date column that I would like to transform to a pandas datetime object. Is it possible to do this with weekly data? For example, 1-2018 stands for week 1 in 2018 and so on. I ...",1,2,25
73483826,"I need help this code on Python mysql connector, I keep on getting errors","import mysql.connector  cnx = mysql.connector.connect(user='user', password='password', host='localhost', database='database') cnx.close()  cursor = cnx.cursor()  query = ""SELECT * FROM ...",-4,1,27
73483809,Threads slow down main loop,I'm currently on phone and can't get the full code. It' based on pygame. But its something like this: def func():     #Bunch of for loops that needs 0.2 secs #Main loop while True:     clock.tick(60)  ...,0,0,17
73483788,Cannot run python script that uses loguru,"I couldn't find any similar SO threads, so i decided to create a new one. I'd like to use loguru in my python scripts, but i encountered a problem with running them through url http://host:port/some/...",0,0,16
73483779,Using pipeline for two models,"I am trying to use pipeline, for implementing two classifiers together. For this I wrote the following code: steps = [('scaler', StandardScaler()),('knn', KNeighborsClassifier()),('dt',...",0,1,18
73483769,"Connection to server at ""localhost"" failed","I'm using databases for quite a while and I'm facing the issue whenever I try to run it in jupyter-notebook. (psycopg2.OperationalError) connection to server at ""localhost""  (::1), port 5438 ...",0,0,18
73483761,Why the Label is not changing with StringVar in this code? (tkinter),"code enviroment:python 3.x Here is my code: import tkinter as tk def abc():     global Labelvar     Labelvar = tk.StringVar()     Labelvar.set('abc')      def xyz():     global Labelvar     Labelvar =...",0,2,27
73483757,pandas: How do I remove duplicate rows by column similarity?,How can I consider a string to be a duplicate line if the difference between the strings is less than one character? I know how to get the count of differences between strings. I don't know how to use ...,0,0,31
73483738,Iterating through training/test data and run them through different models to get best rmse,Hey guys I have a few models I would like to run with quite a lot of data. What would be the best way to iterate through all the train/ test sets and models as fast as possible? Better explanation of ...,0,0,16
73483728,Numpy array to ctypes with FORTRAN ordering,"Is there a performant way to convert a numpy array to a FORTRAN ordered ctypes array, ideally without a copy being required, and without triggering problems related to strides? import numpy as np  # ...",0,0,19
73483704,How to create a database (Calendar) in a page in notion use to python? [closed],I want to create a calendar for the database in the page. But I get the following error. The error code 400 occurs and I want to get the same result as the picture below. My code: from wsgiref import ...,-1,0,16
